Date;Return;MktPremium;Tbills;Oil Return;
1971;0,10786754;0,06456754;0,0433;;26298
1972;0,156332722;0,115632722;0,0407;;26664
1973;-0,173655226;-0,243955226;0,0703;;27029
1974;-0,297180975;-0,375480975;0,0783;;27394
1975;0,315490149;0,257690149;0,0578;;27759
1976;0,191484606;0,141784606;0,0497;;28125
1977;-0,115019553;-0,167719553;0,0527;;28490
1978;0,010620431;-0,061279569;0,0719;;28855
1979;0,123088137;0,022388137;0,1007;;29220
1980;0,25773571;0,14343571;0,1143;;29586
1981;-0,097304011;-0,237604011;0,1403;;29951
1982;0,147613183;0,041513183;0,1061;;30316
1983;0,172710425;0,086610425;0,0861;;30681
1984;0,014006015;-0,081193985;0,0952;;31047
1985;0,263334087;0,188534087;0,0748;;31412
1986;0,146204085;0,086404085;0,0598;;31777
1987;0,02027503;-0,03752497;0,0578;0,275747508;32142
1988;0,124008413;0,057308413;0,0667;-0,168229167;32508
1989;0,272504655;0,191404655;0,0811;0,229805886;32873
1990;-0,065591379;-0,140491379;0,0749;0,24898167;33238
1991;0,26306703;0,20926703;0,0538;-0,121891561;33603
1992;0,044642632;0,010342632;0,0343;-0,044568245;33969
1993;0,070551563;0,040551563;0,03;-0,10447036;34334
1994;-0,01539291;-0,05789291;0,0425;-0,066739012;34699
1995;0,341106556;0,286206556;0,0549;0,071511628;35064
1996;0,202636661;0,152536661;0,0501;0,200217037;35430
1997;0,310081818;0,259481818;0,0506;-0,068264014;35795
1998;0,266685891;0,218885891;0,0478;-0,300339641;36160
1999;0,195260467;0,148860467;0,0464;0,341192788;36525
2000;-0,101391847;-0,159591847;0,0582;0,570837642;36891
2001;-0,130426932;-0,164326932;0,0339;-0,144832126;37256
2002;-0,23365964;-0,24965964;0,016;0,007698229;37621
2003;0,263804;0,253704;0,0101;0,187165775;37986
2004;0,089934524;0,076234524;0,0137;0,335585586;38352
2005;0,030010226;-0,001489774;0,0315;0,364490484;38717
2006;0,136194318;0,088894318;0,0473;0,166137006;39082
2007;0,03529573;-0,00820427;0,0435;0,095230886;39447
2008;-0,38485793;-0,39855793;0,0137;0,377799281;39813
2009;0,234541905;0,233041905;0,0015;-0,378448881;40178
2010;0,127827138;0,126427138;0,0014;0,282970137;40543
2011;-3,18366E-05;-0,000531837;0,0005;0,193759436;40908
2012;0,134056909;0,133156909;0,0009;-0,008747892;41274
2013;0,296012496;0,295412496;0,0006;0,041786284;41639
2014;0,113906338;0,113606338;0,0003;-0,049091651;42004
2015;-0,007265997;-0,007765997;0,0005;-0,477728883;42369